age,gender,fav_actor,past_genre,preferred_genre
25,Male,Shah Rukh Khan,Action,Action
30,Female,Alia Bhatt,Romance,Romance
22,Male,Salman Khan,Action,Action
35,Female,Deepika Padukone,Drama,Drama
28,Male,Akshay Kumar,Comedy,Action
19,Female,Sara Ali Khan,Drama,Drama
40,Male,Amitabh Bachchan,Drama,Drama
23,Female,Kriti Sanon,Comedy,Comedy
27,Male,Ranveer Singh,Action,Action
32,Female,Katrina Kaif,Romance,Romance
21,Male,Allu Arjun,Action,Action
29,Female,Janhvi Kapoor,Comedy,Comedy
34,Male,Nawazuddin Siddiqui,Thriller,Thriller
26,Female,Kiara Advani,Romance,Romance
31,Male,Manoj Bajpayee,Thriller,Thriller
24,Female,Anushka Sharma,Comedy,Comedy
39,Male,Rajinikanth,Action,Action
22,Female,Pooja Hegde,Drama,Drama
36,Male,Prabhas,Action,Action
28,Female,Rashmika Mandanna,Romance,Romance
33,Male,Dhanush,Drama,Drama
20,Female,Taapsee Pannu,Thriller,Thriller
37,Male,Yash,Action,Action
25,Female,Samantha Ruth Prabhu,Drama,Drama
30,Male,Vijay Sethupathi,Thriller,Thriller
27,Female,Madhuri Dixit,Romance,Romance
35,Male,Mahesh Babu,Action,Action
23,Female,Kajal Aggarwal,Comedy,Comedy
31,Male,Fahadh Faasil,Thriller,Thriller
26,Female,Parineeti Chopra,Romance,Romance
38,Male,Mohanlal,Action,Action
21,Female,Shweta Tripathi,Drama,Drama
34,Male,Pankaj Tripathi,Drama,Drama
29,Female,Trisha Krishnan,Romance,Romance
40,Male,Kamal Haasan,Thriller,Thriller
22,Female,Ritika Singh,Action,Action
37,Male,Naga Chaitanya,Action,Action
28,Female,Shraddha Kapoor,Romance,Romance
32,Male,Riteish Deshmukh,Comedy,Comedy
25,Female,Sonam Kapoor,Comedy,Comedy
35,Male,Vicky Kaushal,Action,Action
30,Female,Sonakshi Sinha,Action,Action
27,Male,Siddharth Malhotra,Thriller,Thriller
24,Female,Radhika Apte,Drama,Drama
33,Male,Varun Dhawan,Comedy,Comedy
29,Female,Hansika Motwani,Romance,Romance
39,Male,Ajay Devgn,Action,Action
23,Female,Nushrratt Bharuccha,Comedy,Comedy
31,Male,Tovino Thomas,Thriller,Thriller
26,Female,Nithya Menen,Action,Action
38,Male,Karthi,Thriller,Thriller
22,Female,Sai Pallavi,Drama,Drama
36,Male,Ram Charan,Action,Action
28,Female,Meera Jasmine,Romance,Romance
40,Male,Chiranjeevi,Drama,Drama
21,Female,Aishwarya Rai,Romance,Romance
37,Male,Dulquer Salmaan,Thriller,Thriller
25,Female,Keerthy Suresh,Drama,Drama
30,Male,Sunny Deol,Action,Action
27,Female,Tabu,Thriller,Thriller
35,Male,Arjun Kapoor,Action,Action
23,Female,Kangana Ranaut,Drama,Drama
31,Male,Saif Ali Khan,Comedy,Comedy
26,Female,Rakul Preet Singh,Action,Action
39,Male,Anil Kapoor,Drama,Drama
22,Female,Kareena Kapoor,Romance,Romance
34,Male,John Abraham,Action,Action
29,Female,Neha Sharma,Comedy,Comedy
40,Male,Ravi Teja,Thriller,Thriller
28,Female,Yami Gautam,Action,Action
33,Male,Emraan Hashmi,Thriller,Thriller
24,Female,Divya Dutta,Drama,Drama
36,Male,Abhishek Bachchan,Thriller,Thriller
21,Female,Tamannaah Bhatia,Action,Action
38,Male,Puneeth Rajkumar,Drama,Drama
25,Female,Sanya Malhotra,Thriller,Thriller
30,Male,Tiger Shroff,Action,Action
27,Female,Juhi Chawla,Romance,Romance
35,Male,Sanjay Dutt,Action,Action
23,Female,Ileana D'Cruz,Thriller,Thriller
31,Male,Kartik Aaryan,Comedy,Comedy
26,Female,Swara Bhasker,Action,Action
39,Male,Paresh Rawal,Drama,Drama
22,Female,Bhumi Pednekar,Romance,Romance
37,Male,Govinda,Comedy,Comedy
28,Female,Disha Patani,Action,Action
32,Male,Bobby Deol,Action,Action
25,Female,Jacqueline Fernandez,Drama,Drama
35,Male,Suniel Shetty,Thriller,Thriller
30,Female,Rani Mukerji,Drama,Drama
27,Male,Aditya Roy Kapur,Action,Action
24,Female,Shobana,Drama,Drama
33,Male,Vijay Deverakonda,Action,Action
29,Female,Aditi Rao Hydari,Romance,Romance
40,Male,Boman Irani,Thriller,Thriller
28,Female,Rimi Sen,Comedy,Comedy
